念	思
明哲保身	洁身自好
明哲保身	洁身自爱
明哲保身	纤尘不染
明争暗斗	尔虞我诈
明争暗斗	明枪暗箭
明知故犯	知法犯法
明珠暗投	怀才不遇
冥思苦想	搜索枯肠
铭肌镂骨	刻骨铭心
铭心镂骨	念念不忘
铭心镂骨	念兹在兹
命薄如花	红颜薄命
命途多舛	生不逢辰
命途坎坷	一蹶不振
命途坎坷	江河日下
谬误百出	丝毫不爽
摸棱两可	模棱两可
模棱两可	不置可否
模摸糊糊	隐隐约约
模模糊糊	模摸糊糊
模模糊糊	朦朦胧胧
摩顶放踵	不辞辛劳
摩肩接踵	人山人海
摩拳擦掌	不觉技痒
摩拳擦掌	蠢蠢欲动
磨杵成针	持之以恒
磨杵成针	始终如一
磨砺以须	抖擞精神
磨铁成针	水滴石穿
莫名其妙	莫明其妙
莫名其妙	稀里糊涂
莫明其妙	莫名其妙
莫衷一是	无所适从
秣马厉兵	秣马利兵
秣马利兵	秣马厉兵
漠不相关	漠不关心
漠然置之	熟视无睹
漠然置之	漠不关心
漠然置之	束之高阁
墨守陈规	顽固不化
墨守成规	刻舟求剑
墨守成规	循规蹈矩
墨守成规	循序渐进
默不作声	默默无言
默不作声	张口结舌
默默无闻	没没无闻
默默无言	张口结舌
默默无言	哑口无言
默默无言	守口如瓶
默默无言	缄口不言
默默无言	沉默不语
默默无言	一诺千金
谋事在人	人定胜天
木鸡之呆	呆头呆脑
木鸡之呆	泥塑木雕
木人石心	铁石心肠
木已成舟	米已成炊
目不忍睹	目不忍视
目不忍视	目不忍睹
目不识丁	才疏学浅
目不识丁	胸无点墨
目不暇接	琳琅满目
目不暇接	应接不暇
目不邪视	瞻前顾后
目不邪视	左顾右盼
目不斜视	全神贯注
目不斜视	聚精会神
目不转睛	诚心诚意
目不转睛	目不斜视
目不转睛	聚精会神
目瞪口呆	束手无策
目瞪口呆	惊惶失措
目瞪口呆	呆若木鸡
目光短浅	眼光短浅
目光短浅	井蛙之见
目光短浅	孤陋寡闻
目光如电	目光如炬
目光如豆	鼠目寸光
目光如豆	眼光短浅
目光如豆	坐井观天
目光如炬	高瞻远瞩
目光如炬	发愤努力
目即成诵	过目成诵
目空四海	夜郎自大
目空四海	不可一世
目空四海	目无余子
目空一切	不可一世
目空一切	才高气傲
目空一切	自命不凡
目空一切	目中无人
目空一世	目空一切
目迷五色	眼花撩乱
目迷五色	眼花缭乱
目迷五色	头昏眼花
目染耳濡	见闻习染
目染耳濡	耳濡目染
目擩耳染	耳濡目染
目若无人	目中无人
目使颐令	颐指气使
目送手挥	手挥目送
目挑心招	眉目传情
目无法纪	目无王法
目无王法	目无法纪
目无余子	井蛙语海
目无余子	傍若无人
目无余子	不可一世
目无余子	夜郎自大
目下十行	一目十行
目指气使	颐指气使
巧夺天工	鬼斧神工
营私舞弊	结党营私
弃旧容新	吐故纳新
双宿双飞	莲开并蒂
弃旧图新	洗心革面
弃旧图新	改邪归正
弃旧图新	放下屠刀
披星带月	披星戴月
巧取豪夺	敲诈勒索
蝇头之利	锥刀之末
巧舌如簧	伶牙俐齿
相安无事	息事宁人
罄其所有	慷慨解囊
罄竹难书	擢发难数
你死我活	水火不相容
穷本极源	追本溯源
穷本极源	寻根究底
穷当益坚	自强不息
平易近民	和蔼可亲
平易近民	平易近人
神仙世界	极乐世界
逆来顺受	委曲求全
囊空如洗	身无分文
平易近人	和蔼可亲
相得益彰	井水不犯河水
穷极无聊	心灰意冷
弃文竞武	弃文就武
痛不欲生	悲痛欲绝
痛不欲生	悲不自胜
痛不欲生	死而复活
痛不欲生	死去活来
痛澈心脾	心如刀割
弃文就武	投笔从戎
弃械投降	束手就缚
平易近人	蔼然可亲
平易近人	和蔼可掬
不愧下学	不耻下问
相辅相成	相得益彰
痛改前非	改邪归正
痛改前非	弃暗投明
痛改前非	改过自新
痛改前非	迷途知返
匿影藏形	石沉大海
泣不成声	泪如泉涌
泣如雨下	两眼汪汪
相机行事	见风使舵
相机行事	见机而行
痛哭流涕	声泪俱下
应付裕如	应付自如
应付自如	应付裕如
应付自如	绰绰有余
切齿腐心	切齿痛恨
相见恨晚	相知恨晚
切齿腐心	深恶痛绝
应机立断	刚毅果决
应机立断	当机立断
水到渠成	理所当然
水到渠成	顺理成章
应接不暇	目不暇接
水到渠成	瓜熟蒂落
切齿痛恨	咬牙切齿
水滴石穿	百折不回
水滴石穿	坚持不懈
融会贯通	闻一知十
融会贯通	触类旁通
披星戴月	栉风沐雨
相惊伯有	自相惊扰
相敬如宾	举案齐眉
痛快淋漓	拍手称快
痛快淋漓	大快人心
穷力尽心	仁至义尽
穷年累月	长年累月
穷年累月	积年累月
水火不容	方枘圆凿
应有尽有	一应俱全
应有尽有	包罗万象
应有尽有	无所不包
水火倒悬	水深火热
应召修文	玉楼赴召
披星戴月	通宵达旦
穷山恶水	不毛之地
痛心疾首	咬牙切齿
痛心疾首	切齿痛恨
映雪读书	映月读书
映雪囊萤	囊萤积雪
映雪囊萤	映雪读书
映月读书	映雪读书
痛痒相关	休戚相关
相去万里	天渊之别
相生相克	恶马恶人骑
痛痒相关	一脉相连
穷奢极欲	花天酒地
穷奢极欲	骄奢淫逸
水静无波	风平浪静
喃喃自语	自言自语
水静无波	水平如镜
水落石出	真相大白
水落石出	内情毕露
蜃楼海市	海市蜃楼
相提并论	等量齐观
相提并论	同日而语
相提并论	一概而论
水平如镜	风平浪静
水清无鱼	曲高和寡
偷梁换柱	移花接木
蜃楼海市	空中楼阁
水乳交融	不分彼此
水上人家	浮家泛宅
水深火热	天下太平
水深火热	水火之中
偷天换日	偷梁换柱
水深火热	安居乐业
穷途末路	走投无路
偷偷摸摸	别有用心
穷凶极恶	罪恶滔天
穷凶极恶	丧尽天良
庸人自扰	杞人忧天
穷凶极恶	暴戾恣睢
相形见绌	黯然失色
相形见拙	黯然失色
庸庸碌碌	栗六庸才
相形失色	相形见绌
穷源竟委	穷源溯流
水天相接	水天一线
头昏脑胀	头昏眼花
头昏眼花	眼花缭乱
水天一线	水天相接
饔飧不继	啼饥号寒
头角崭然	出人头地
头角峥嵘	出类拔萃
永垂不朽	名垂青史
永垂不朽	流芳百世
永垂不朽	千古留名
永垂不朽	千古流芳
水土不服	不服水土
水泄不通	人山人海
水泄不通	三五成群
水宿风餐	餐风宿雨
相知恨晚	相见恨晚
水宿风餐	披星戴月
穷源溯流	穷源竟委
水长船高	水涨船高
水涨船高	水长船高
水中捞月	梦幻泡影
水中捞月	大海捞针
水中捞月	铁树开花
头童齿豁	蓬头历齿
头童齿豁	齿豁头童
头童齿豁	返老还童
勇而无谋	有勇无谋
秋高气爽	天高气爽
秋毫无犯	耕市不惊
头头是道	层次井然
头头是道	井井有条
秋扇见捐	蘼芜路断
慎重其事	郑重其事
头重脚轻	有始无终
头重脚轻	虎头蛇尾
难于登天	谈何容易
勇往直前	一往直前
勇往直前	当仁不让
勇往直前	再接再厉
勇往直前	不屈不挠
勇往直前	一往无前
切肤之痛	切身痛苦
投笔从戎	弃文就武
欺人太甚	盛气凌人
欺软怕硬	吐刚茹柔
欺善怕恶	仗势凌人
囚首垢面	不顾外表
囚首垢面	不修边幅
升堂入室	造诣高深
欺善怕恶	仗势欺人
欺善怕恶	恃强凌弱
用非所学	学非所用
投机倒把	投机取巧
投机取巧	见机行事
投机取巧	相机行事
投机取巧	看风使舵
用尽心思	久有存心
用尽心思	处心积虑
用尽心思	苦心孤诣
欺世盗名	沽名钓誉
享有盛名	颇负盛名
响彻云霄	响遏行云
响遏行云	响彻云霄
生搬硬套	生吞活剥
牛之一毛	沧海一粟
盘算推算	计算
生不逢辰	命途多舛
求过于供	供不应求
鸟尽弓藏	兔死狗烹
顺理成章	迎刃而解
顺理成章	瓜熟蒂落
生产过剩	供过于求
瓢泼大雨	倾盆大雨
奴颜婢色	奴颜婢膝
顺其自然	天真烂漫
想方设法	处心积虑
想方设法	费尽心机
想方设法	千方百计
切切私语	喁喁私语
奴颜婢色	奴颜媚骨
切身痛苦	切肤之痛
想入非非	痴心妄想
想入非非	妙想天开
想入非非	异想天开
求名求利	名利双收
顺水推舟	因势利导
向壁虚构	闭门造车
向壁虚构	凭空杜撰
劈头盖脸	没头没脑
奴颜婢膝	卑躬屈膝
投鼠忌器	有所顾忌
投桃报李	礼尚往来
投闲置散	牛鼎烹鸡
投闲置散	人浮于事
求全责备	吹毛求疵
生而知之	不学而能
年高德劭	年高望重
年高德劭	德高望重
求神拜佛	拜鬼求神
求神拜鬼	求神拜佛
优柔寡断	闪烁其词
优柔寡断	犹豫不决
优柔寡断	迟疑不决
优柔寡断	当断不断
切中时弊	一针见血
奴颜媚骨	奴颜婢膝
奴颜媚骨	卑恭屈节
恰到好处	恰如其分
如出一口	异口同声
项背相望	肩摩踵接
项背相望	肩背相望
生机盎然	生机勃勃
透露机密	泄漏天机
生机勃勃	朝气蓬勃
生机勃勃	生气勃勃
象齿焚身	怀璧其罪
如出一口	众口一词
如出一辙	墨守成规
如出一辙	一模一样
生拉硬扯	生拖死拽
生拉硬扯	牵强附会
瞬息万变	千变万化
哓哓不停	口齿伶俐
哓哓不停	口若悬河
优哉游哉	自由自在
哓哓不停	咕哝不已
哓哓不停	大言不惭
瞬息万变	变幻莫测
求之不得	梦寐以求
忧国忧民	伤时感事
逍遥法外	鸿飞冥冥
逍遥自在	自由自在
逍遥自在	悠然自得
生灵涂炭	民不聊生
生灵涂炭	水火倒悬
生龙活虎	生气勃勃
生龙活虎	生机勃勃
忧心忡忡	怒气冲冲
忧心忡忡	忧心如捣
忧心如捣	忧心如焚
忧心如焚	无忧无虑
忧心如焚	忧心忡忡
生龙活虎	手舞足蹈
突飞猛进	日新月异
突飞猛进	百尺竿头
生龙活虎	精神焕发
鸟尽弓藏	免死狗烹
生命垂危	病入膏肓
突如其来	从天而降
生命垂危	不可救药
如法泡制	依样画葫芦
如法泡制	如法炮制
突有所感	心血来潮
如法炮制	依样画葫芦
说三道四	品头题足
念念不忘	朝思暮想
图谋不轨	居心叵测
图谋不轨	居心不良
图谋不诡	居心叵测
说一不二	金口玉牙
图为不轨	居心叵测
消灭净尽	斩草除根
图为不轨	违法乱纪
说一是一	驷马难追
说一是一	说一不二
说长道短	说三道四
扭转乾坤	改天换地
消声匿迹	偃旗息鼓
浓墨重彩	浓墨涂抹
蹊跷怪僻	古里古怪
蹊跷怪僻	奇怪
徒负虚名	名实难副
徒负虚名	虚有其表
徒劳无益	吃力不讨好
徒劳无益	心劳日拙
如何是好	如之奈何
如虎添翼	精益求精
徒托空言	托之空言
徒有虚名	名不副实
悠然自得	悠然自在
悠然自得	自由自在
悠然自得	悠悠自得
悠然自在	闲云野鹤
硕大无朋	庞然大物
生气勃勃	龙腾虎跃
生气勃勃	朝气蓬勃
生气勃勃	生机勃勃
司空见惯	习以为常
悠闲自在	闲云野鹤
司空见惯	不足为奇
难以想象	不可思议
难兄难弟	一丘之貉
生气蓬勃	生机勃勃
宵衣旰食	孜孜不倦
宵衣旰食	废寝忘餐
萧规曹随	故步自封
萧规曹随	率由旧章
萧规曹随	依样葫芦
萧墙之祸	家庭祸变
生气蓬勃	生机盎然
如虎添翼	锦上添花
如火如荼	热火朝天
由此可见	因而可知
丝毫不爽	谬误百出
如火如荼	风靡云蒸
如获至宝	大喜过望
如饥似渴	迫不及待
如胶似漆	胶漆相投
土崩瓦解	固若金汤
土崩瓦解	风雨飘摇
土崩瓦解	四分五裂
土崩瓦解	支离破碎
土崩瓦解	江河日下
土崩瓦解	风声鹤唳
土崩瓦解	溃不成军
土崩瓦解	旗开得胜
如胶似漆	水乳交融
拈花惹草	寻花问柳
犹豫不安	忐忑不安
犹豫不定	优柔寡断
犹豫不定	举棋不定
犹豫不决	优柔寡断
犹豫不决	狐疑不决
犹豫不决	三心二意
犹豫不决	一心一意
生生不已	生息不断
生生世世	世世代代
皮开肉绽	伤痕累累
如狼似虎	凶神恶煞
销声匿迹	无影无踪
油腔滑调	油嘴滑舌
油腔滑调	油头滑脑
油腔滑调	强词夺理
油头滑脑	一本正经
油头滑脑	油嘴滑舌
油嘴滑舌	油头滑脑
油嘴滑舌	一本正经
销声匿迹	杳无音信
销声匿迹	声销迹灭
如雷贯耳	如雷灌耳
如雷贯耳	臭名昭著
如雷贯耳	名扬四海
如雷灌耳	如雷贯耳
如临深渊	如履薄冰
生死关头	紧要关头
生死之交	刎颈之交
游刃有余	如鱼得水
游手好闲	不务正业
游手好闲	好吃懒做
游手好闲	好逸恶劳
生吞活剥	不求甚解
霄壤之别	天地之别
霄壤之别	天壤之别
霄壤之别	云泥之别
生吞活剥	走马观花
私相授受	秘密交易
吐刚茹柔	欺软怕硬
游戏人间	偶一为之
游戏人间	玩世不恭
吐故纳新	弃旧容新
吐旧容新	吐故纳新
如履薄冰	如临深渊
私刑逼供	屈打成招
小肚鸡肠	鼠肚鸡肠
如履薄冰	小心翼翼
生息不断	生生不已
如履薄冰	战战兢兢
吐露心腹	口若悬河
如履薄冰	诚惶诚恐
吐气扬眉	洋洋得意
吐气扬眉	意气扬扬
如梦初醒	顿开茅塞
如梦初醒	恍然大悟
如梦方醒	幡然悔悟
兔死狗烹	鸟尽弓藏
兔死狐悲	物伤其类
如鸟兽散	逃之夭夭
评头论足	说三道四
脑满肠肥	大腹便便
如日方升	旭日东升
生意盎然	生气勃勃
团结一心	同心合力
团结一心	同舟共济
生意盎然	朝气蓬勃
生意盎然	生机勃勃
如日方升	如日中天
如日方升	方兴未艾
如日中天	方兴未艾
有板有眼	层序分明
有板有眼	有声有色
有板有眼	有条有理
有板有眼	绘声绘色
有板有眼	活龙活现
有备无患	防患未然
有备无患	未雨绸缪
有备无患	杜渐防萌
有备无患	常备不懈
有层有次	层序分明
有层有次	井井有条
有层有次	井井有理
有的放矢	对症下药
有的放矢	一针见血
有的放矢	切中时弊
有夫之妇	罗敷有夫
恰如其分	恰到好处
恰如私愿	正中下怀
有机可趁	浑水摸鱼
有机可趁	乘人之危
有机可乘	有隙可乘
有机可乘	趁火打劫
小巧玲珑	娇小玲珑
如丧考妣	如失父母
有口皆碑	交口称誉
有口难言	百辞莫辩
有口无心	心口不一
有口无心	言不由衷
如失父母	如丧考妣
小人得志	瓦釜雷鸣
评头论足	说长道短
推波助澜	搬弄是非
有名无实	虚有其表
有名无实	鱼质龙文
有名无实	徒有虚名
有目共睹	众目睽睽
有目共睹	有目共见
推波助澜	火上浇油
有气无力	无精打采
有气无力	精神不振
小手小脚	小家子气
推波助澜	挑拨离间
声东击西	暗渡陈仓
小题大作	借题发挥
有求必应	来者不拒
声泪俱下	嚎啕大哭
评头品足	品头论足
声名狼藉	臭名昭着
声名狼藉	臭名远扬
有伤风化	伤风败俗
有声有色	生龙活虎
有声有色	有条有理
有声有色	绘声绘色
有失体统	不成体统
如拾草芥	俯拾即是
推陈出新	标新立异
有始无终	有头无尾
有始无终	半途而废
有始有终	铁杵成针
有始有终	持之以恒
有始有终	全始全终
有恃无恐	有备无患
推陈出新	独具匠心
推陈出新	改弦更张
推诚相见	肝胆相照
有所顾忌	投鼠忌器
有条不紊	井然有序
有条不紊	杂乱无章
有条有理	头头是道
有条有理	有层有次
有条有理	有声有色
有条有理	齐齐整整
有头无尾	虎头蛇尾
有头有尾	善始善终
有头有尾	自始自终
有头有尾	首尾一贯
推诚相见	委以心腹
小心谨慎	谨小慎微
小心谨慎	粗枝大叶
有隙可乘	有机可乘
小心谨慎	轻举妄动
小心谨慎	轻描淡写
小心翼翼	一丝不苟
小心翼翼	小心谨慎
有眼无珠	有眼不识泰山
小心翼翼	谨言慎行
小心翼翼	尽心竭力
小心翼翼	老谋深算
小心翼翼	兢兢业业
有勇无谋	匹夫之勇
如数家珍	一五一十
如汤沃雪	轻而易举
声色俱厉	正颜厉色
声色俱厉	疾言厉色
如汤沃雪	如汤灌雪
声势浩大	气吞山河
声势浩大	死灰复燃
声势浩大	叱咤风云
声势赫赫	浩浩荡荡
如兄如弟	情同手足
逆来顺受	唾面自干
如蚁附膻	趋之若鹜
皮开肉绽	遍体鳞伤
齐大非偶	门高莫对
如影随行	形影不离
如影随形	形影不离
如影随形	形影相随
如影随形	行影不离
如鱼得水	蛟龙得水
浓墨重彩	淋漓尽致
如愿以偿	心满意足
如愿以偿	称心如意
念兹在兹	时刻不忘
窃窃私议	窃窃私语
诱敌深入	欲擒故纵
窃窃私议	低声密谈
如之奈何	如何是好
声誉鹤起	身价百倍
声誉鹊起	名震一时
如醉如痴	自我陶醉
如坐针毡	坐立不安
如坐针毡	诚惶诚恐
窃窃私语	交头接耳
千变万化	变幻无穷
千差万别	截然不同
千疮百孔	满目疮痍
千锤百炼	一目十行
千锤百炼	惜墨如金
千锤百炼	不断改进
迂回曲折	转弯抹角
迂回曲折	拐弯抹角
笑里藏刀	佛口蛇心
笑里藏刀	言不由衷
笑里藏刀	口蜜腹剑
笑里藏刀	刀头之蜜
于事无补	无济于事
绳锯木断	聚蚊成雷
死不改悔	执迷不悟
死不悔改	文过饰非
死不悔改	执迷不悟
死不足惜	罪恶滔天
死不足惜	损人利己
笑容可掬	喜笑颜开
余烬复起	东山再起
余烬复起	死灰复然
笑容可掬	喜形于色
笑容可掬	喜逐颜开
余音绕梁	绕梁三日
余音绕梁	余韵绕梁
死不足惜	苟且偷生
鱼沉雁杳	杳无音信
鱼龙混杂	泥沙俱下
鱼龙混杂	牛骥同皂
鱼龙混杂	龙蛇混杂
鱼目混珠	碌碌无为
鱼目混珠	滥竽充数
鱼目混珠	无所作为
鱼死网破	你死我活
笑逐言开	喜形于色
笑逐颜开	眉飞色舞
鱼质龙文	虚有其表
鱼质龙文	外强内弱
笑逐颜开	笑容可掬
笑逐颜开	喜笑颜开
绳锯木断	水滴石穿
千方百计	想方设法
千方百计	处心积虑
死而复活	起死回生
死而后已	全心全意
死而后已	鞠躬尽瘁
千古留名	千载扬名
死灰复然	东山再起
死灰复燃	欣欣向荣
死灰复燃	余烬复燃
死灰复燃	百折不挠
死灰复燃	东山再起
千古留名	流芳百世
喁喁私语	切切私语
死里逃生	垂死挣扎
死里逃生	千钧一发
死里逃生	朝不虑夕
千古流芳	流芳百世
省吃俭用	节衣缩食
凭白无故	平白无故
乳臭未干	年幼无知
屈打成招	私刑逼供
千钧一发	岌岌可危
死皮赖脸	厚颜无耻
推涛作浪	火上浇油
推涛作浪	泼油救火
死皮赖脸	恬不知耻
千钧一发	一发千钧
死乞白赖	死气白赖
南柯一梦	黄粱美梦
千钧一发	危在旦夕
死气沉沉	委靡不振
死气沉沉	老气横秋
死气沉沉	暮气沉沉
死气沉沉	萎靡不振
死去活来	起死回生
锲而不舍	坚定不移
死生之契	啮臂之交
屈己从人	平易近人
愚公移山	铁杵成针
锲而不舍	坚韧不拔
锲而不舍	自始至终
锲而不舍	坚持不懈
能言巧辩	伶牙俐齿
推心置腹	推诚相见
推心置腹	委以心腹
推心置腹	畅所欲言
推心置腹	诚心诚意
入不敷出	捉襟见肘
入不敷出	寅吃卯粮
协力同心	肝胆相照
死心塌地	死不改悔
死心塌地	回心转意
死心塌地	死心踏地
死心踏地	死心塌地
死有余辜	罪恶滔天
死有余辜	穷凶极恶
死有余辜	作奸犯科
与狐谋皮	与虎谋皮
与虎谋皮	与狐谋皮
死有余辜	大逆不道
与你何关	干卿底事
与日俱进	日新月异
与日俱增	突飞猛进
与日俱增	雨后春笋
与日俱增	与日俱进
与日俱增	日新月异
与世浮沉	随俗浮沉
与世浮沉	随波逐流
与世长辞	寿终正寝
千钧一发	间不容发
千钧一发	如饥似渴
蟠根错节	盘根错节
四壁萧条	一无所有
四壁萧条	家徒四壁
四壁萧条	家徒壁立
四壁萧条	家贫壁立
入国问俗	入境问禁
入境问禁	入国问俗
羽化登仙	白日升天
阿谀奉承	趋炎附势
千里迢迢	关山迢递
千里之堤	溃于蚁穴
千里之行	始于足下
四处奔波	跋山涉水
雨过天青	云开见日
雨后春笋	一日千里
四处奔波	仆仆风尘
四分五裂	分崩离析
四分五裂	支离破碎
四海为家	断梗飘萍
千篇一律	规行矩步
语无伦次	颠倒错乱
语无伦次	瞎三话四
语无伦次	胡说八道
屈指可数	寥寥可数
语重心长	循循善诱
语重心长	苦口婆心
屈指可数	百里挑一
四面八方	五湖四海
玉楼赴召	应召修文
四面楚歌	腹背受敌
四平八稳	面面俱到
屈指可数	数不胜数
退避三舍	远而避之
玉山颓倒	烂醉如泥
玉石俱焚	两败俱伤
玉石同烬	同归于尽
玉石同烬	兰艾同焚
四通八达	七通八达
屈指可数	寥若晨星
祛病延年	延年益寿
千篇一律	千人一面
千篇一律	照猫画虎
玉液琼浆	金樽旨酒
入木三分	鞭辟入里
千篇一律	老生常谈
入情入理	通情达理
胜券在握	瓮中之鳖
胜券在握	瓮中捉鳖
入情入理	合情合理
入情入理	振振有词
千篇一律	食古不化
千奇百怪	光怪陆离
千奇百怪	奇形怪状
千秋万代	千秋万载
郁郁不乐	闷闷不乐
郁郁寡欢	闷闷不乐
千秋万载	万古千秋
千秋万载	千秋万代
千人所指	众矢之的
浴血搏杀	浴血奋战
浴血奋战	浴血搏杀
千人一面	千篇一律
盛极必衰	日中则昃
趋附者众	趋之若鹜
盛名之下	其实难副
千丝万缕	心如乱麻
驷不及舌	令出如山
驷马难追	一言九鼎
千丝万缕	千头万绪
肆无忌惮	胡作非为
肆无忌惮	为所欲为
趋炎附势	阿谀奉迎
盛气凌人	不可一世
盛气凌人	气焰万丈
趋炎附势	攀龙附凤
趋之若鹜	趋附者众
千头万绪	心如乱麻
泄漏天机	透露机密
盛食厉兵	厉兵秣马
千头万绪	盘根错节
入乡随俗	随遇而安
预加防备	有恃无恐
预加防备	防患未然
你死我活	不共戴天
曲高和寡	水清无鱼
卸磨杀驴	过河拆桥
退役还乡	解甲归田
鸟语花香	莺啼燕语
年富力强	年轻力壮
千辛万苦	坚苦卓绝
千辛万苦	饱经风霜
曲曲折折	弯弯曲曲
千言万语	夸夸其谈
千言万语	千语万言
曲突徙薪	早为之所
曲突徙薪	未雨绸缪
曲突徙薪	防患未然
阮囊羞涩	季子囊空
阮囊羞涩	囊空如洗
尸骨早寒	墓木已拱
千岩万壑	层峦叠障
曲意逢迎	攀龙趋凤
尸横遍野	血流成河
欲罢不能	骑虎难下
欲盖弥彰	掩人耳目
欲盖弥彰	此地无银三百两
欲就还推	不即不离
欲擒故纵	诱敌深入
欲速不达	适得其反
欲速不达	揠苗助长
尸居余气	老朽无用
曲意逢迎	阿谀奉承
千载难逢	百年不遇
欲言又止	半吐半吞
邂逅相逢	不期而遇
邂逅相逢	邂逅相遇
邂逅相遇	不期而遇
千载扬名	遗臭万年
吞声忍让	忍气吞声
千载扬名	流芳百世
耸人听闻	骇人听闻
遇难呈祥	逢凶化吉
遇难呈祥	转败为胜
遇难连累	遭殃
遇人不淑	所嫁非人
耸人听闻	危言耸听
阿谀奉迎	阿谀奉承
吞吐其词	吞吞吐吐
吞吐其词	含混其词
吞吐其辞	支吾其词
心安理得	问心无愧
心不在焉	心神恍惚
心不在焉	漫不经心
心不在焉	心神不定
心不在焉	丧魂失魄
心不在焉	魂不守舍
吞吐其辞	吞吞吐吐
吞吐其辞	吞吐其词
吞吞吐吐	结结巴巴
心驰神往	全神贯注
阿谀奉迎	溜须拍马
誉满全球	名满天下
誉满天下	举世闻名
心存不轨	别有用心
心存不轨	心怀鬼胎
软土深掘	得寸进尺
心烦意乱	心烦虑乱
心烦意乱	提心吊胆
冤家伙窄	冤家路窄
冤家伙窄	狭路相逢
冤家路窄	狭路相逢
心烦意乱	心乱如麻
软硬兼取	巧取豪夺
囤积居奇	屯积居奇
心服口服	五体投地
心服口服	心悦诚服
囤积居奇	奇货可居
心腹之患	肘腋之患
心甘情愿	毫不勉强
心高气傲	骄气十足
心花怒放	怡然自得
心花怒放	兴高采烈
锐不可当	势如破竹
心怀鬼胎	包藏祸心
心怀鬼胎	别有用心
心怀叵测	鬼鬼祟祟
心怀叵测	别有用心
心怀叵测	包藏祸心
心怀叵测	居心叵测
心怀坦白	光明磊落
心怀坦白	襟怀坦白
心慌意乱	方寸已乱
心灰意懒	灰心丧气
心灰意懒	心如死灰
心灰意懒	没精打彩
心灰意冷	穷极无聊
心灰意冷	意气消沉
千载一时	千载难逢
曲折小路	羊肠小径
心急如焚	火烧火燎
心急如火	从容不迫
男女老幼	男女老少
曲折小路	羊肠小道
千真万确	确切不移
千姿百态	绰约多姿
原璧归赵	珠还合浦
原璧归赵	失而复得
原封不动	纹丝不动
原封不动	原封未动
蹑手蹑脚	轻手轻脚
曲终奏雅	美满收场
心惊胆落	心惊胆战
心惊胆落	心有余悸
心惊胆落	魂飞天外
心惊胆落	心烦意乱
心惊胆落	魄散九霄
心惊胆落	丢魂失魄
心惊胆跳	不寒而栗
心惊胆战	大惊失色
心惊胆战	胆战心惊
心惊胆战	提心吊胆
心惊胆战	魂飞魄散
心惊肉跳	心惊胆跳
心惊肉跳	心惊胆落
心惊肉跳	战战兢兢
心惊肉跳	不寒而栗
泥塑木雕	呆若木鸡
齐齐整整	头头是道
齐齐整整	条理分明
排难解纷	排忧解难
怒不可遏	你死我活
送旧迎新	除旧布新
心口不一	口是心非
心口如一	表里如一
心口如一	坐言起行
心快口直	毋庸讳言
心快口直	心直口快
心旷神怡	七上八下
原形毕露	暴露无遗
心旷神怡	赏心悦目
心劳日拙	吃力不讨好
排山倒海	雷霆万钧
蚍蜉撼树	以卵击石
托之空言	徒托空言
心里有数	冷暖自知
蚍蜉撼树	蜉蝣撼树
齐心协力	群策群力
送往迎来	送旧迎新
失而复得	合浦珠还
心领神会	心知肚明
心领神会	举一反三
心领神会	心照不宣
心领神会	融会贯通
心乱如麻	悬心吊胆
心乱如麻	提心吊胆
哀肠百转	愁肠寸断
失魂落魄	魂不守舍
心满意足	得意洋洋
心满意足	称心如意
原原本本	源源本本
原原本本	从头至尾
心满意足	如愿以偿
心满意足	得偿所愿
心满意足	得意忘形
心平气和	相安无事
心平气和	平心静气
失魂落魄	魂飞魄散
颂声遍野	到处颂扬
哀肠百转	愁肠百结
排山倒海	翻天覆地
拖麻拽布	披麻带孝
拖泥带水	滞滞泥泥
拖泥带水	模棱两可
心如刀割	痛澈心脾
心如乱麻	盘根错节
心如死灰	心灰意冷
心如死灰	灰心丧气
牵肠挂肚	朝思暮想
哀鸿遍野	民生凋敝
心神不定	神不守舍
心神不定	心神恍惚
心神不定	局促不安
心神不定	意马心猿
心神不属	漫不经心
心神不属	无所用心
心神恍惚	意志不定
心神恍惚	漫不经心
心神恍惚	心不在焉
心神恍惚	神不守舍
心神郁结	愁肠百结
心神专注	目不斜视
拖拖拉拉	拖泥带水
凭空杜撰	闭门造车
心手相应	得心应手
若即若离	欲就还推
若即若离	不即不离
若即若离	半推半就
若明若暗	雾里看花
牵扯不清	纠缠不清
若无其事	泰然自若
若隐若现	若有若无
若有若无	若隐若现
脱口而出	无稽之谈
脱口而出	信口开河
若有所失	若有所思
若有所思	若有所失
弱不禁风	弱不胜衣
缘木求鱼	食古不化
缘木求鱼	刻舟求剑
缘木求鱼	海底捞针
弱不胜衣	弱不禁风
凭空捏造	闭门造车
心无二用	心无旁鹭
心无旁鹭	心无二用
心向往之	心驰神往
心向往之	全神贯注
心心相印	同心合意
心心相印	协力同心
心心相印	同舟共济
心心相印	同衾共枕
心心相印	息息相通
凭空捏造	凭空杜撰
搜肠刮肚	冥思苦想
搜肠刮肚	左思右想
排山倒海	翻江倒海
其貌不扬	贼眉鼠眼
源源本本	从头到尾
源源不断	源源不绝
源源不绝	绵绵不断
源源而来	滔滔而至
源远流长	积厚流光
耐人寻味	回味无穷
脱俗之交	忘年之交
脱胎换骨	洗心革面
疲惫不堪	筋疲力尽
心绪恶劣	愁肠百结
心绪恶劣	心神郁结
